Reference area,TIME_PERIOD,OBS_VALUE,,
Denmark,2014,6.925,,TRUE
Denmark,2015,6.266667,,TRUE
Denmark,2016,5.983333,,TRUE
Denmark,2017,5.816667,,TRUE
Denmark,2018,5.15,,TRUE
Denmark,2019,5.025,,TRUE
Denmark,2020,5.625,,TRUE
Denmark,2021,5.108333,,TRUE
Denmark,2022,4.475,,TRUE
Denmark,2023,5.108333,,TRUE
Denmark,2024,6.191667,,TRUE
Finland,1988,4.208333,,FALSE
Finland,1989,3.108333,,TRUE
Finland,1990,3.166667,,TRUE
Finland,1991,6.608333,,TRUE
Finland,1992,11.70833,,TRUE
Finland,1993,16.34167,,TRUE
Finland,1994,16.58333,,TRUE
Finland,1995,15.4,,TRUE
Finland,1996,14.56667,,TRUE
Finland,1997,12.64167,,TRUE
Finland,1998,11.35833,,TRUE
Finland,1999,10.21667,,TRUE
Finland,2000,9.783334,,TRUE
Finland,2001,9.125,,TRUE
Finland,2002,9.075,,TRUE
Finland,2003,9.008333,,TRUE
Finland,2004,8.825,,TRUE
Finland,2005,8.4,,TRUE
Finland,2006,7.716667,,TRUE
Finland,2007,6.866667,,TRUE
Finland,2008,6.366667,,TRUE
Finland,2009,8.366667,,TRUE
Finland,2010,8.541667,,TRUE
Finland,2011,7.966667,,TRUE
Finland,2012,7.808333,,TRUE
Finland,2013,8.3,,TRUE
Finland,2014,8.75,,TRUE
Finland,2015,9.458333,,TRUE
Finland,2016,8.916667,,TRUE
Finland,2017,8.766666,,TRUE
Finland,2018,7.433333,,TRUE
Finland,2019,6.741667,,TRUE
Finland,2020,7.725,,TRUE
Finland,2021,7.675,,TRUE
Finland,2022,6.766667,,TRUE
Finland,2023,7.216667,,TRUE
Finland,2024,8.383333,,TRUE
France,1983,8.758333,,FALSE
France,1984,10.05,,TRUE
France,1985,10.38333,,TRUE
France,1986,10.55,,TRUE
France,1987,10.65,,TRUE
France,1988,10.06667,,TRUE
France,1989,9.675,,TRUE
France,1990,9.366667,,TRUE
France,1991,9.625,,TRUE
France,1992,10.64167,,TRUE
France,1993,11.825,,TRUE
France,1994,12.275,,TRUE
France,1995,11.95,,TRUE
France,1996,12.4,,TRUE
France,1997,12.33333,,TRUE
France,1998,12.05,,TRUE
France,1999,11.31667,,TRUE
France,2000,9.558333,,TRUE
France,2001,8.741667,,TRUE
France,2002,8.633333,,TRUE
France,2003,8.508333,,TRUE
France,2004,8.875,,TRUE
France,2005,8.891666,,TRUE
France,2006,8.85,,TRUE
France,2007,8.025,,TRUE
France,2008,7.441667,,TRUE
France,2009,9.125,,TRUE
France,2010,9.283334,,TRUE
France,2011,9.2,,TRUE
France,2012,9.758333,,TRUE
France,2013,10.3,,TRUE
France,2014,10.26667,,TRUE
France,2015,10.35833,,TRUE
France,2016,10.05833,,TRUE
France,2017,9.416667,,TRUE
France,2018,9.016666,,TRUE
France,2019,8.441667,,TRUE
France,2020,8.033334,,TRUE
France,2021,7.875,,TRUE
France,2022,7.316667,,TRUE
France,2023,7.35,,TRUE
France,2024,7.391667,,TRUE
Germany,1991,5.525,,FALSE
Germany,1992,6.566667,,TRUE
Germany,1993,7.791667,,TRUE
Germany,1994,8.45,,TRUE
Germany,1995,8.25,,TRUE
Germany,1996,8.941667,,TRUE
Germany,1997,9.675,,TRUE
Germany,1998,9.45,,TRUE
Germany,1999,8.625,,TRUE
Germany,2000,8.008333,,TRUE
Germany,2001,7.858333,,TRUE
Germany,2002,8.683333,,TRUE
Germany,2003,9.808333,,TRUE
Germany,2004,10.5,,TRUE
Germany,2005,11.28333,,TRUE
Germany,2006,10.275,,TRUE
Germany,2007,8.541667,,TRUE
Germany,2008,7.425,,TRUE
Germany,2009,7.341667,,TRUE
Germany,2010,6.575,,TRUE
Germany,2011,5.525,,TRUE
Germany,2012,5.083333,,TRUE
Germany,2013,4.941667,,TRUE
Germany,2014,4.708333,,TRUE
Germany,2015,4.358333,,TRUE
Germany,2016,3.9,,TRUE
Germany,2017,3.525,,TRUE
Germany,2018,3.191667,,TRUE
Germany,2019,2.95,,TRUE
Germany,2020,3.625,,TRUE
Germany,2021,3.6,,TRUE
Germany,2022,3.141667,,TRUE
Germany,2023,3.083333,,TRUE
Germany,2024,3.391667,,TRUE
Greece,1999,11.98333,,FALSE
Greece,2000,11.23333,,TRUE
Greece,2001,10.675,,TRUE
Greece,2002,10.33333,,TRUE
Greece,2003,9.741667,,TRUE
Greece,2004,10.60833,,TRUE
Greece,2005,10.00833,,TRUE
Greece,2006,9.033334,,TRUE
Greece,2007,8.416667,,TRUE
Greece,2008,7.766667,,TRUE
Greece,2009,9.75,,TRUE
Greece,2010,12.95833,,TRUE
Greece,2011,18.09167,,TRUE
Greece,2012,24.80833,,TRUE
Greece,2013,27.825,,TRUE
Greece,2014,26.65,,TRUE
Greece,2015,24.98333,,TRUE
Greece,2016,23.875,,TRUE
Greece,2017,21.84167,,TRUE
Greece,2018,19.74167,,TRUE
Greece,2019,17.88333,,TRUE
Greece,2020,17.61667,,TRUE
Greece,2021,14.79167,,TRUE
Greece,2022,12.45833,,TRUE
Greece,2023,11.08333,,TRUE
Greece,2024,10.11667,,TRUE
Ireland,1983,13.90833,,FALSE
Ireland,1984,15.5,,TRUE
Ireland,1985,16.81667,,TRUE
Ireland,1986,16.83333,,TRUE
Ireland,1987,16.625,,TRUE
Ireland,1988,16.225,,TRUE
Ireland,1989,14.73333,,TRUE
Ireland,1990,13.45,,TRUE
Ireland,1991,14.75833,,TRUE
Ireland,1992,15.39167,,TRUE
Ireland,1993,15.64167,,TRUE
Ireland,1994,14.34167,,TRUE
Ireland,1995,12.29167,,TRUE
Ireland,1996,11.66667,,TRUE
Ireland,1997,9.875,,TRUE
Ireland,1998,7.55,,TRUE
Ireland,1999,5.933333,,TRUE
Ireland,2000,4.4,,TRUE
Ireland,2001,4.175,,TRUE
Ireland,2002,4.725,,TRUE
Ireland,2003,4.85,,TRUE
Ireland,2004,4.741667,,TRUE
Ireland,2005,4.633333,,TRUE
Ireland,2006,4.791667,,TRUE
Ireland,2007,5,,TRUE
Ireland,2008,6.791667,,TRUE
Ireland,2009,12.65833,,TRUE
Ireland,2010,14.575,,TRUE
Ireland,2011,15.40833,,TRUE
Ireland,2012,15.48333,,TRUE
Ireland,2013,13.775,,TRUE
Ireland,2014,11.88333,,TRUE
Ireland,2015,9.925,,TRUE
Ireland,2016,8.408334,,TRUE
Ireland,2017,6.75,,TRUE
Ireland,2018,5.8,,TRUE
Ireland,2019,5.008333,,TRUE
Ireland,2020,5.858333,,TRUE
Ireland,2021,6.258333,,TRUE
Ireland,2022,4.466667,,TRUE
Ireland,2023,4.308333,,TRUE
Ireland,2024,4.3,,TRUE
Italy,1983,7.366667,,FALSE
Italy,1984,7.833333,,TRUE
Italy,1985,8.141666,,TRUE
Italy,1986,8.883333,,TRUE
Italy,1987,9.633333,,TRUE
Italy,1988,9.7,,TRUE
Italy,1989,9.7,,TRUE
Italy,1990,8.866667,,TRUE
Italy,1991,8.516666,,TRUE
Italy,1992,8.791667,,TRUE
Italy,1993,9.725,,TRUE
Italy,1994,10.65,,TRUE
Italy,1995,11.18333,,TRUE
Italy,1996,11.16667,,TRUE
Italy,1997,11.21667,,TRUE
Italy,1998,11.3,,TRUE
Italy,1999,10.86667,,TRUE
Italy,2000,10.05,,TRUE
Italy,2001,9.008333,,TRUE
Italy,2002,8.475,,TRUE
Italy,2003,8.433333,,TRUE
Italy,2004,8.05,,TRUE
Italy,2005,7.783333,,TRUE
Italy,2006,6.866667,,TRUE
Italy,2007,6.15,,TRUE
Italy,2008,6.775,,TRUE
Italy,2009,7.875,,TRUE
Italy,2010,8.541667,,TRUE
Italy,2011,8.508333,,TRUE
Italy,2012,10.88333,,TRUE
Italy,2013,12.36667,,TRUE
Italy,2014,12.825,,TRUE
Italy,2015,12,,TRUE
Italy,2016,11.75,,TRUE
Italy,2017,11.25833,,TRUE
Italy,2018,10.6,,TRUE
Italy,2019,9.933333,,TRUE
Italy,2020,9.3,,TRUE
Italy,2021,9.558333,,TRUE
Italy,2022,8.075,,TRUE
Italy,2023,7.666667,,TRUE
Italy,2024,6.516667,,TRUE
Luxembourg,1983,3.408333,,FALSE
Luxembourg,1984,3.041667,,TRUE
Luxembourg,1985,2.875,,TRUE
Luxembourg,1986,2.533333,,TRUE
Luxembourg,1987,2.45,,TRUE
Luxembourg,1988,2,,TRUE
Luxembourg,1989,1.783333,,TRUE
Luxembourg,1990,1.658333,,TRUE
Luxembourg,1991,1.658333,,TRUE
Luxembourg,1992,2.066667,,TRUE
Luxembourg,1993,2.583333,,TRUE
Luxembourg,1994,3.175,,TRUE
Luxembourg,1995,2.866667,,TRUE
Luxembourg,1996,2.925,,TRUE
Luxembourg,1997,2.7,,TRUE
Luxembourg,1998,2.691667,,TRUE
Luxembourg,1999,2.408333,,TRUE
Luxembourg,2000,2.233333,,TRUE
Luxembourg,2001,1.9,,TRUE
Luxembourg,2002,2.558333,,TRUE
Luxembourg,2003,3.808333,,TRUE
Luxembourg,2004,4.95,,TRUE
Luxembourg,2005,4.65,,TRUE
Luxembourg,2006,4.575,,TRUE
Luxembourg,2007,4.166667,,TRUE
Luxembourg,2008,4.916667,,TRUE
Luxembourg,2009,5.116667,,TRUE
Luxembourg,2010,4.583333,,TRUE
Luxembourg,2011,4.833333,,TRUE
Luxembourg,2012,5.066667,,TRUE
Luxembourg,2013,5.875,,TRUE
Luxembourg,2014,6.05,,TRUE
Luxembourg,2015,6.458333,,TRUE
Luxembourg,2016,6.333333,,TRUE
Luxembourg,2017,5.616667,,TRUE
Luxembourg,2018,5.5,,TRUE
Luxembourg,2019,5.591667,,TRUE
Luxembourg,2020,6.691667,,TRUE
Luxembourg,2021,5.425,,TRUE
Luxembourg,2022,4.6,,TRUE
Luxembourg,2023,5.216667,,TRUE
Luxembourg,2024,6.3,,TRUE
Netherlands,1983,9.508333,,FALSE
Netherlands,1984,9.291667,,TRUE
Netherlands,1985,8.45,,TRUE
Netherlands,1986,7.608333,,TRUE
Netherlands,1987,7.466667,,TRUE
Netherlands,1988,7.375,,TRUE
Netherlands,1989,6.675,,TRUE
Netherlands,1990,6.083333,,TRUE
Netherlands,1991,5.675,,TRUE
Netherlands,1992,5.758333,,TRUE
Netherlands,1993,6.466667,,TRUE
Netherlands,1994,7.191667,,TRUE
Netherlands,1995,8.358334,,TRUE
Netherlands,1996,7.675,,TRUE
Netherlands,1997,6.5,,TRUE
Netherlands,1998,5.133333,,TRUE
Netherlands,1999,4.233333,,TRUE
Netherlands,2000,3.666667,,TRUE
Netherlands,2001,3.075,,TRUE
Netherlands,2002,3.666667,,TRUE
Netherlands,2003,5.908333,,TRUE
Netherlands,2004,6.775,,TRUE
Netherlands,2005,6.958333,,TRUE
Netherlands,2006,6.083333,,TRUE
Netherlands,2007,5.308333,,TRUE
Netherlands,2008,4.758333,,TRUE
Netherlands,2009,5.425,,TRUE
Netherlands,2010,6.066667,,TRUE
Netherlands,2011,6.05,,TRUE
Netherlands,2012,6.816667,,TRUE
Netherlands,2013,8.191667,,TRUE
Netherlands,2014,8.35,,TRUE
Netherlands,2015,7.891667,,TRUE
Netherlands,2016,7,,TRUE
Netherlands,2017,5.875,,TRUE
Netherlands,2018,4.866667,,TRUE
Netherlands,2019,4.433333,,TRUE
Netherlands,2020,4.85,,TRUE
Netherlands,2021,4.225,,TRUE
Netherlands,2022,3.541667,,TRUE
Netherlands,2023,3.541667,,TRUE
Netherlands,2024,3.666667,,TRUE
Portugal,1983,8.175,,FALSE
Portugal,1984,8.866667,,TRUE
Portugal,1985,9.15,,TRUE
Portugal,1986,8.8,,TRUE
Portugal,1987,7.233333,,TRUE
Portugal,1988,5.841667,,TRUE
Portugal,1989,5.183333,,TRUE
Portugal,1990,4.8,,TRUE
Portugal,1991,4.183333,,TRUE
Portugal,1992,4.125,,TRUE
Portugal,1993,5.5,,TRUE
Portugal,1994,6.825,,TRUE
Portugal,1995,7.183333,,TRUE
Portugal,1996,7.241667,,TRUE
Portugal,1997,6.741667,,TRUE
Portugal,1998,6.1,,TRUE
Portugal,1999,5.725,,TRUE
Portugal,2000,5.266667,,TRUE
Portugal,2001,5.375,,TRUE
Portugal,2002,6.466667,,TRUE
Portugal,2003,7.808333,,TRUE
Portugal,2004,8.166667,,TRUE
Portugal,2005,9.233334,,TRUE
Portugal,2006,9.3,,TRUE
Portugal,2007,9.583333,,TRUE
Portugal,2008,9.241667,,TRUE
Portugal,2009,11.225,,TRUE
Portugal,2010,12.58333,,TRUE
Portugal,2011,13.53333,,TRUE
Portugal,2012,16.56667,,TRUE
Portugal,2013,17.24167,,TRUE
Portugal,2014,14.65,,TRUE
Portugal,2015,12.98333,,TRUE
Portugal,2016,11.475,,TRUE
Portugal,2017,9.241667,,TRUE
Portugal,2018,7.15,,TRUE
Portugal,2019,6.65,,TRUE
Portugal,2020,7.108333,,TRUE
Portugal,2021,6.733333,,TRUE
Portugal,2022,6.175,,TRUE
Portugal,2023,6.566667,,TRUE
Portugal,2024,6.458333,,TRUE
Spain,1987,19.71667,,FALSE
Spain,1988,18.69167,,TRUE
Spain,1989,16.54167,,TRUE
Spain,1990,15.45833,,TRUE
Spain,1991,15.5,,TRUE
Spain,1992,17.01667,,TRUE
Spain,1993,20.84167,,TRUE
Spain,1994,22.05,,TRUE
Spain,1995,20.75,,TRUE
Spain,1996,19.89167,,TRUE
Spain,1997,18.39167,,TRUE
Spain,1998,16.40833,,TRUE
Spain,1999,13.6,,TRUE
Spain,2000,11.91667,,TRUE
Spain,2001,10.55833,,TRUE
Spain,2002,11.44167,,TRUE
Spain,2003,11.49167,,TRUE
Spain,2004,10.95833,,TRUE
Spain,2005,9.166667,,TRUE
Spain,2006,8.458333,,TRUE
Spain,2007,8.225,,TRUE
Spain,2008,11.26667,,TRUE
Spain,2009,17.86667,,TRUE
Spain,2010,19.875,,TRUE
Spain,2011,21.40833,,TRUE
Spain,2012,24.79167,,TRUE
Spain,2013,26.11667,,TRUE
Spain,2014,24.45,,TRUE
Spain,2015,22.075,,TRUE
Spain,2016,19.65,,TRUE
Spain,2017,17.23333,,TRUE
Spain,2018,15.26667,,TRUE
Spain,2019,14.10833,,TRUE
Spain,2020,15.53333,,TRUE
Spain,2021,14.93333,,TRUE
Spain,2022,13.03333,,TRUE
Spain,2023,12.19167,,TRUE
Spain,2024,11.35833,,TRUE
Sweden,1983,3.666667,,FALSE
Sweden,1984,3.266667,,TRUE
Sweden,1985,2.883333,,TRUE
Sweden,1986,2.691667,,TRUE
Sweden,1987,2.191667,,TRUE
Sweden,1988,1.8,,TRUE
Sweden,1989,1.558333,,TRUE
Sweden,1990,1.716667,,TRUE
Sweden,1991,3.1,,TRUE
Sweden,1992,5.558333,,TRUE
Sweden,1993,9.05,,TRUE
Sweden,1994,9.358334,,TRUE
Sweden,1995,8.8,,TRUE
Sweden,1996,9.558333,,TRUE
Sweden,1997,9.891666,,TRUE
Sweden,1998,8.2,,TRUE
Sweden,1999,6.733333,,TRUE
Sweden,2000,5.6,,TRUE
Sweden,2001,5.825,,TRUE
Sweden,2002,5.95,,TRUE
Sweden,2003,6.566667,,TRUE
Sweden,2004,7.375,,TRUE
Sweden,2005,7.783333,,TRUE
Sweden,2006,7.241667,,TRUE
Sweden,2007,6.316667,,TRUE
Sweden,2008,6.35,,TRUE
Sweden,2009,8.483334,,TRUE
Sweden,2010,8.775,,TRUE
Sweden,2011,7.95,,TRUE
Sweden,2012,8.15,,TRUE
Sweden,2013,8.208333,,TRUE
Sweden,2014,8.1,,TRUE
Sweden,2015,7.591667,,TRUE
Sweden,2016,7.15,,TRUE
Sweden,2017,6.858333,,TRUE
Sweden,2018,6.475,,TRUE
Sweden,2019,6.908333,,TRUE
Sweden,2020,8.483334,,TRUE
Sweden,2021,8.891666,,TRUE
Sweden,2022,7.483333,,TRUE
Sweden,2023,7.666667,,TRUE
Sweden,2024,8.35,,TRUE
